,spec,n_mem_states,seed,objective,score
0,paint.95,,2024,memoryless,-6.809465916332627e-05
1,paint.95,,2025,memoryless,0.2736466916215696
2,paint.95,,2026,memoryless,0.347771660267184
3,paint.95,,2027,memoryless,-1.0675223123773848e-05
4,paint.95,,2028,memoryless,0.3477925325596057
5,paint.95,,2029,memoryless,0.22721907332094965
6,paint.95,,2030,memoryless,0.3477706594993496
7,paint.95,,2031,memoryless,-5.8331364337237254e-05
8,paint.95,,2032,memoryless,0.34770366693054267
9,paint.95,,2033,memoryless,0.2738260199162903
10,paint.95,,2034,memoryless,0.3477371481447406
11,paint.95,,2035,memoryless,0.3477894029546568
12,paint.95,,2036,memoryless,0.2738024273042621
13,paint.95,,2037,memoryless,0.3478436434921696
14,paint.95,,2038,memoryless,0.3476855660796541
15,paint.95,,2039,memoryless,0.3477836317366324
16,paint.95,,2040,memoryless,-3.611004613204842e-05
17,paint.95,,2041,memoryless,0.2737168352809213
18,paint.95,,2042,memoryless,0.34770769802188595
19,paint.95,,2043,memoryless,-8.960000125974608e-06
20,paint.95,,2044,memoryless,0.34752022983455877
21,paint.95,,2045,memoryless,-0.00013038124896405312
22,paint.95,,2046,memoryless,-7.310966527660185e-05
23,paint.95,,2047,memoryless,-4.23021479683923e-05
24,paint.95,,2048,memoryless,-0.00010377293568598001
25,paint.95,,2049,memoryless,0.34782379133246166
26,paint.95,,2050,memoryless,0.27374675562235945
27,paint.95,,2051,memoryless,0.2737711428487646
28,paint.95,,2052,memoryless,0.3478278471243101
29,paint.95,,2053,memoryless,0.2737730928589447
0,paint.95,,2024,random,-4.346900986309976
1,paint.95,,2025,random,-4.129313597558517
2,paint.95,,2026,random,-4.03299247922713
3,paint.95,,2027,random,-4.331410813238673
4,paint.95,,2028,random,-4.006808986431569
5,paint.95,,2029,random,-4.17494278426823
6,paint.95,,2030,random,-4.61703464003703
7,paint.95,,2031,random,-3.9570732338626775
8,paint.95,,2032,random,-4.429264487153349
9,paint.95,,2033,random,-4.228787318880137
10,paint.95,,2034,random,-4.445907060478607
11,paint.95,,2035,random,-3.992580425501225
12,paint.95,,2036,random,-4.498906995069177
13,paint.95,,2037,random,-4.338030837475092
14,paint.95,,2038,random,-4.2108070416968895
15,paint.95,,2039,random,-4.738307386640897
16,paint.95,,2040,random,-4.116929422751913
17,paint.95,,2041,random,-4.152613709627851
18,paint.95,,2042,random,-4.36710900427719
19,paint.95,,2043,random,-4.4874080853734455
20,paint.95,,2044,random,-4.6855600013214955
21,paint.95,,2045,random,-4.473214649331634
22,paint.95,,2046,random,-4.168232192844373
23,paint.95,,2047,random,-4.37082299014844
24,paint.95,,2048,random,-4.292422002571589
25,paint.95,,2049,random,-4.186992629324113
26,paint.95,,2050,random,-4.752507058493115
27,paint.95,,2051,random,-4.7287069733881335
28,paint.95,,2052,random,-4.397584134552107
29,paint.95,,2053,random,-4.6447398979038566
0,paint.95,4.0,2024,ld,1.3857620462018732
1,paint.95,4.0,2025,ld,-6.251741509113307e-05
2,paint.95,4.0,2026,ld,1.328420643425204
3,paint.95,4.0,2027,ld,2.1576112671022343
4,paint.95,4.0,2028,ld,2.679505014833409
5,paint.95,4.0,2029,ld,-2.5205505603289335e-05
6,paint.95,4.0,2030,ld,2.8280294820340135
7,paint.95,4.0,2031,ld,0.16304994024459563
8,paint.95,4.0,2032,ld,1.0467417870967348
9,paint.95,4.0,2033,ld,1.0457895938090744
10,paint.95,4.0,2034,ld,1.63470940956771
11,paint.95,4.0,2035,ld,0.012911557049644369
12,paint.95,4.0,2036,ld,2.204183336511812
13,paint.95,4.0,2037,ld,2.604626006903071
14,paint.95,4.0,2038,ld,0.03708134307712215
15,paint.95,4.0,2039,ld,1.5707353475331958
16,paint.95,4.0,2040,ld,3.0658893430257907
17,paint.95,4.0,2041,ld,1.3277419265675747
18,paint.95,4.0,2042,ld,1.2421522075262035
19,paint.95,4.0,2043,ld,3.007540632289308
20,paint.95,4.0,2044,ld,3.071759408219195
21,paint.95,4.0,2045,ld,1.2591560077932762
22,paint.95,4.0,2046,ld,1.2570734964146482
23,paint.95,4.0,2047,ld,1.479030670677318
24,paint.95,4.0,2048,ld,1.381929038373598
25,paint.95,4.0,2049,ld,2.2823847627605764
26,paint.95,4.0,2050,ld,1.313961480739174
27,paint.95,4.0,2051,ld,2.607284438865516
28,paint.95,4.0,2052,ld,0.34778430931738785
29,paint.95,4.0,2053,ld,2.8234153840412035
0,tmaze_5_two_thirds_up,,2029,memoryless,1.0628626142468927
1,tmaze_5_two_thirds_up,,2030,memoryless,1.0628610342042273
2,tmaze_5_two_thirds_up,,2031,memoryless,1.0628614546935546
3,tmaze_5_two_thirds_up,,2032,memoryless,1.0628624591818456
4,tmaze_5_two_thirds_up,,2033,memoryless,1.0628599811420576
5,tmaze_5_two_thirds_up,,2034,memoryless,1.0628636933023334
6,tmaze_5_two_thirds_up,,2035,memoryless,1.0362930021739638
7,tmaze_5_two_thirds_up,,2036,memoryless,1.0628561527738858
8,tmaze_5_two_thirds_up,,2037,memoryless,1.0628601972177092
9,tmaze_5_two_thirds_up,,2038,memoryless,1.0628620947724325
10,tmaze_5_two_thirds_up,,2039,memoryless,1.0628596257830307
11,tmaze_5_two_thirds_up,,2040,memoryless,1.0362943293903086
12,tmaze_5_two_thirds_up,,2041,memoryless,1.0628627454511037
13,tmaze_5_two_thirds_up,,2042,memoryless,1.0628607281383695
14,tmaze_5_two_thirds_up,,2043,memoryless,1.062824666674753
15,tmaze_5_two_thirds_up,,2044,memoryless,1.062864155273898
16,tmaze_5_two_thirds_up,,2045,memoryless,1.062862766991435
17,tmaze_5_two_thirds_up,,2046,memoryless,1.0363356109144386
18,tmaze_5_two_thirds_up,,2047,memoryless,1.0362931448655974
19,tmaze_5_two_thirds_up,,2048,memoryless,1.0628512825127234
20,tmaze_5_two_thirds_up,,2049,memoryless,1.0628630364428182
21,tmaze_5_two_thirds_up,,2050,memoryless,1.062869348408425
22,tmaze_5_two_thirds_up,,2051,memoryless,1.0628599525543814
23,tmaze_5_two_thirds_up,,2052,memoryless,1.0362909461193264
24,tmaze_5_two_thirds_up,,2053,memoryless,1.0628608426490167
25,tmaze_5_two_thirds_up,,2054,memoryless,1.0628630196290454
26,tmaze_5_two_thirds_up,,2055,memoryless,1.0628654758331555
27,tmaze_5_two_thirds_up,,2056,memoryless,1.0628626849598184
28,tmaze_5_two_thirds_up,,2057,memoryless,1.0628681001613054
29,tmaze_5_two_thirds_up,,2058,memoryless,1.0628650216582656
0,tmaze_5_two_thirds_up,,2029,random,0.09554719118517616
1,tmaze_5_two_thirds_up,,2030,random,0.08852581301370084
2,tmaze_5_two_thirds_up,,2031,random,0.09162812092741178
3,tmaze_5_two_thirds_up,,2032,random,0.07214317696910763
4,tmaze_5_two_thirds_up,,2033,random,0.08532773262091287
5,tmaze_5_two_thirds_up,,2034,random,0.07890658145096874
6,tmaze_5_two_thirds_up,,2035,random,0.10273377044155048
7,tmaze_5_two_thirds_up,,2036,random,0.07562307591399968
8,tmaze_5_two_thirds_up,,2037,random,0.08329636200550097
9,tmaze_5_two_thirds_up,,2038,random,0.07954949783688518
10,tmaze_5_two_thirds_up,,2039,random,0.10144651308772466
11,tmaze_5_two_thirds_up,,2040,random,0.08586885050339388
12,tmaze_5_two_thirds_up,,2041,random,0.07830376076930512
13,tmaze_5_two_thirds_up,,2042,random,0.08545245936401592
14,tmaze_5_two_thirds_up,,2043,random,0.09403782338623824
15,tmaze_5_two_thirds_up,,2044,random,0.09462403489574371
16,tmaze_5_two_thirds_up,,2045,random,0.1053030655862458
17,tmaze_5_two_thirds_up,,2046,random,0.10571946432728799
18,tmaze_5_two_thirds_up,,2047,random,0.0803822265048518
19,tmaze_5_two_thirds_up,,2048,random,0.09678150290108659
20,tmaze_5_two_thirds_up,,2049,random,0.07632414770335673
21,tmaze_5_two_thirds_up,,2050,random,0.09395624615445368
22,tmaze_5_two_thirds_up,,2051,random,0.0896200859561393
23,tmaze_5_two_thirds_up,,2052,random,0.10929556194226295
24,tmaze_5_two_thirds_up,,2053,random,0.10711767056803363
25,tmaze_5_two_thirds_up,,2054,random,0.0925450049365607
26,tmaze_5_two_thirds_up,,2055,random,0.07754985155279673
27,tmaze_5_two_thirds_up,,2056,random,0.09493974439211646
